frequency,raw
20.00,-5.34
20.02,-5.34
20.08,-5.34
20.17,-5.34
20.30,-5.32
20.48,-5.32
20.69,-5.32
20.93,-5.32
21.22,-5.21
21.54,-5.21
21.91,-5.21
22.31,-5.13
22.74,-5.13
23.22,-5.07
23.73,-4.97
24.29,-4.97
24.88,-4.87
25.51,-4.85
26.17,-4.85
26.88,-4.84
27.62,-4.96
28.40,-4.96
29.22,-4.97
30.08,-4.95
30.98,-4.95
31.91,-4.90
32.88,-5.00
33.89,-4.96
34.94,-4.95
36.02,-4.98
37.15,-5.00
38.31,-4.97
39.51,-4.90
40.75,-4.78
42.03,-4.74
43.34,-4.66
44.69,-4.70
46.09,-4.80
47.51,-4.83
48.98,-4.69
50.49,-4.70
52.03,-4.89
53.61,-4.86
55.23,-4.81
56.89,-4.91
58.59,-5.00
60.32,-4.93
62.09,-4.93
63.90,-5.07
65.75,-5.04
67.64,-4.95
69.56,-4.89
71.52,-4.74
73.52,-4.75
75.56,-4.78
77.64,-4.92
79.75,-4.94
81.91,-4.86
84.10,-4.78
86.33,-4.95
88.60,-5.12
90.90,-5.17
93.25,-5.29
95.63,-5.58
98.05,-5.59
100.50,-5.43
103.00,-5.36
105.54,-5.53
108.11,-5.75
110.72,-5.93
113.37,-6.18
116.05,-6.30
118.78,-6.30
121.54,-6.26
124.34,-6.21
127.18,-6.17
130.06,-6.33
132.97,-6.54
135.93,-6.43
138.92,-6.63
141.95,-6.82
145.02,-6.86
148.12,-6.94
151.27,-6.91
154.45,-7.06
157.67,-7.15
160.93,-7.52
164.22,-7.45
167.56,-7.39
170.93,-7.75
174.34,-7.91
177.79,-7.98
181.28,-8.14
184.80,-8.02
188.36,-8.37
191.97,-8.57
195.61,-8.48
199.28,-8.79
203.00,-9.05
206.75,-9.09
210.54,-9.06
214.37,-9.35
218.24,-9.17
222.15,-9.15
226.09,-9.27
230.07,-9.21
234.10,-9.21
238.15,-9.08
242.25,-9.21
246.39,-9.38
250.56,-9.14
254.77,-9.16
259.02,-8.97
263.31,-8.92
267.63,-8.82
271.99,-8.79
276.40,-8.92
280.84,-9.06
285.31,-8.95
289.83,-8.81
294.38,-8.65
298.98,-8.85
303.61,-9.03
308.27,-9.00
312.98,-9.18
317.73,-9.08
322.51,-9.12
327.33,-9.34
332.19,-9.29
337.08,-9.49
342.02,-9.75
346.99,-9.93
352.00,-9.87
357.05,-10.01
362.14,-9.89
367.27,-9.55
372.43,-9.47
377.63,-9.51
382.87,-9.57
388.15,-9.43
393.47,-9.30
398.82,-9.07
404.21,-9.10
409.64,-9.16
415.11,-9.00
420.62,-9.05
426.16,-9.01
431.75,-9.04
437.37,-9.19
443.03,-9.26
448.72,-9.21
454.46,-9.40
460.23,-9.71
466.04,-9.74
471.89,-9.72
477.78,-9.96
483.71,-9.83
489.67,-10.08
495.67,-9.97
501.71,-9.98
507.79,-9.85
513.91,-10.00
520.06,-10.06
526.26,-10.15
532.49,-9.99
538.76,-9.88
545.06,-9.92
551.41,-10.00
557.79,-10.01
564.21,-10.01
570.67,-10.07
577.17,-10.18
583.71,-10.45
590.28,-10.57
596.89,-10.76
603.54,-10.73
610.23,-10.66
616.96,-10.65
623.72,-10.79
630.52,-10.94
637.36,-10.89
644.24,-11.02
651.16,-11.12
658.11,-10.94
665.11,-10.96
672.14,-10.94
679.21,-10.98
686.31,-11.23
693.46,-11.18
700.64,-11.68
707.86,-11.73
715.12,-11.97
722.42,-12.06
729.76,-12.33
737.13,-12.29
744.54,-12.82
751.99,-12.91
759.48,-13.23
767.01,-13.39
774.57,-13.45
782.18,-13.69
789.82,-13.83
797.50,-13.89
805.21,-14.22
812.97,-14.74
820.76,-14.76
828.59,-15.54
836.46,-15.53
844.37,-15.59
852.32,-15.24
860.30,-15.51
868.32,-15.45
876.38,-15.23
884.48,-15.02
892.62,-14.87
900.79,-14.35
909.00,-14.46
917.25,-13.73
925.54,-13.71
933.87,-13.66
942.23,-13.78
950.64,-13.63
959.08,-13.55
967.56,-13.15
976.07,-12.79
984.63,-12.84
993.22,-12.26
1001.85,-12.30
1010.52,-11.87
1019.23,-11.37
1027.98,-10.99
1036.76,-10.58
1045.58,-9.38
1054.45,-9.14
1063.34,-8.58
1072.28,-7.98
1081.25,-7.14
1090.27,-6.47
1099.32,-5.59
1108.41,-5.05
1117.53,-4.52
1126.70,-3.93
1135.90,-3.58
1145.14,-3.21
1154.42,-3.11
1163.74,-2.83
1173.10,-2.29
1182.49,-2.16
1191.92,-1.86
1201.39,-1.56
1210.90,-1.50
1220.45,-1.61
1230.03,-1.70
1239.65,-1.43
1249.31,-1.16
1259.01,-1.10
1268.75,-1.11
1278.52,-1.47
1288.34,-1.38
1298.19,-1.26
1308.08,-1.19
1318.01,-0.94
1327.97,-0.43
1337.97,-0.58
1348.02,-0.38
1358.10,-0.57
1368.21,-0.52
1378.37,-0.38
1388.56,-0.14
1398.80,-0.04
1409.07,-0.27
1419.38,-0.61
1429.72,-0.81
1440.11,-1.10
1450.53,-0.85
1460.99,-0.90
1471.49,-1.62
1482.03,-1.70
1492.60,-1.76
1503.21,-1.97
1513.87,-2.13
1524.56,-2.23
1535.28,-2.62
1546.05,-3.14
1556.85,-2.91
1567.69,-3.16
1578.57,-3.00
1589.49,-3.17
1600.45,-2.94
1611.44,-3.45
1622.48,-3.51
1633.55,-3.22
1644.66,-3.81
1655.80,-4.19
1666.99,-4.63
1678.21,-5.06
1689.47,-5.37
1700.77,-5.71
1712.11,-5.96
1723.48,-6.36
1734.90,-6.30
1746.35,-6.64
1757.84,-7.21
1769.37,-7.23
1780.93,-7.34
1792.54,-7.26
1804.18,-7.12
1815.86,-7.16
1827.58,-7.52
1839.33,-7.31
1851.13,-7.76
1862.96,-8.17
1874.83,-8.57
1886.74,-9.35
1898.69,-9.76
1910.67,-10.22
1922.70,-9.48
1934.76,-8.67
1946.86,-6.98
1959.00,-5.85
1971.17,-4.63
1983.39,-3.14
1995.64,-2.02
2007.93,-1.58
2020.26,-1.10
2032.62,-0.91
2045.03,-1.23
2057.47,-1.17
2069.95,-1.46
2082.47,-1.60
2095.03,-1.62
2107.62,-2.10
2120.25,-2.38
2132.92,-2.35
2145.63,-2.90
2158.38,-3.07
2171.17,-3.53
2183.99,-4.43
2196.85,-4.54
2209.75,-5.12
2222.69,-4.70
2235.67,-4.51
2248.68,-4.79
2261.73,-4.48
2274.82,-4.19
2287.95,-3.95
2301.12,-4.19
2314.32,-4.79
2327.57,-4.86
2340.85,-4.80
2354.17,-5.02
2367.52,-5.48
2380.92,-5.39
2394.35,-5.40
2407.82,-5.25
2421.33,-5.70
2434.88,-5.72
2448.47,-5.68
2462.09,-5.91
2475.75,-5.63
2489.45,-6.09
2503.19,-6.16
2516.97,-6.71
2530.78,-6.49
2544.63,-6.06
2558.52,-6.17
2572.45,-6.38
2586.42,-6.09
2600.42,-6.00
2614.47,-6.01
2628.55,-6.32
2642.67,-6.69
2656.83,-6.98
2671.02,-7.10
2685.26,-6.85
2699.53,-7.41
2713.84,-7.27
2728.18,-7.42
2742.57,-7.65
2756.99,-7.69
2771.46,-7.70
2785.96,-7.61
2800.50,-7.87
2815.07,-7.65
2829.69,-7.27
2844.34,-7.22
2859.03,-7.73
2873.76,-7.79
2888.53,-7.66
2903.33,-7.78
2918.18,-7.63
2933.06,-7.57
2947.98,-7.30
2962.94,-6.76
2977.93,-7.07
2992.96,-7.04
3008.04,-7.03
3023.15,-7.62
3038.30,-7.90
3053.48,-8.52
3068.71,-8.40
3083.97,-8.32
3099.27,-7.25
3114.61,-4.90
3129.99,-3.18
3145.40,-2.47
3160.85,-1.93
3176.34,-1.90
3191.87,-1.73
3207.44,-2.47
3223.05,-3.34
3238.69,-3.63
3254.37,-4.05
3270.09,-4.25
3285.85,-5.00
3301.65,-4.84
3317.48,-4.73
3333.35,-4.99
3349.26,-5.21
3365.21,-5.46
3381.20,-6.45
3397.22,-6.98
3413.29,-7.47
3429.39,-7.19
3445.53,-7.60
3461.70,-7.23
3477.92,-6.60
3494.17,-6.20
3510.46,-6.65
3526.79,-6.77
3543.16,-6.77
3559.57,-7.29
3576.01,-7.68
3592.49,-8.12
3609.01,-7.87
3625.57,-7.72
3642.17,-7.10
3658.80,-7.46
3675.47,-7.79
3692.19,-8.89
3708.93,-8.44
3725.72,-9.19
3742.55,-9.13
3759.41,-8.94
3776.31,-8.32
3793.25,-7.81
3810.23,-6.64
3827.24,-5.63
3844.30,-4.72
3861.39,-4.05
3878.52,-3.61
3895.69,-3.76
3912.89,-4.13
3930.14,-3.89
3947.42,-3.96
3964.74,-4.41
3982.10,-4.65
3999.50,-4.50
4016.93,-4.90
4034.40,-5.27
4051.91,-5.22
4069.46,-5.54
4087.05,-5.95
4104.68,-6.56
4122.34,-6.88
4140.04,-7.16
4157.78,-7.05
4175.56,-7.09
4193.37,-7.56
4211.23,-7.99
4229.12,-8.04
4247.05,-8.12
4265.02,-8.27
4283.02,-7.48
4301.07,-6.73
4319.15,-6.41
4337.27,-6.36
4355.43,-6.13
4373.63,-6.50
4391.86,-6.91
4410.14,-7.56
4428.45,-7.92
4446.80,-8.37
4465.18,-8.64
4483.61,-8.97
4502.07,-9.02
4520.58,-8.55
4539.12,-7.87
4557.69,-7.82
4576.31,-7.57
4594.96,-7.16
4613.66,-7.98
4632.39,-8.03
4651.16,-8.08
4669.96,-8.02
4688.81,-7.94
4707.69,-7.67
4726.61,-7.93
4745.57,-7.77
4764.57,-8.50
4783.60,-9.30
4802.68,-9.31
4821.79,-10.07
4840.94,-9.58
4860.13,-9.61
4879.35,-8.76
4898.62,-8.21
4917.92,-7.84
4937.26,-7.78
4956.64,-7.23
4976.05,-7.82
4995.51,-8.17
5015.00,-8.55
5034.53,-9.53
5054.10,-9.74
5073.71,-9.78
5093.35,-9.48
5113.03,-9.59
5132.76,-9.48
5152.52,-9.05
5172.31,-8.98
5192.15,-8.82
5212.02,-9.03
5231.93,-8.68
5251.88,-8.80
5271.87,-8.85
5291.90,-8.37
5311.96,-8.45
5332.07,-7.73
5352.21,-7.35
5372.38,-7.42
5392.60,-6.93
5412.86,-7.24
5433.15,-7.42
5453.48,-7.65
5473.85,-7.80
5494.26,-7.43
5514.70,-7.28
5535.19,-7.02
5555.71,-6.66
5576.27,-6.31
5596.86,-5.64
5617.50,-4.99
5638.17,-5.01
5658.89,-5.39
5679.64,-5.68
