frequency,raw
20.00,-6.63
20.02,-6.63
20.08,-6.63
20.17,-6.63
20.30,-6.63
20.48,-6.63
20.69,-6.63
20.93,-6.63
21.22,-6.63
21.54,-6.64
21.91,-6.64
22.31,-6.64
22.74,-6.64
23.22,-6.71
23.73,-6.71
24.29,-6.71
24.88,-6.73
25.51,-6.73
26.17,-6.77
26.88,-6.77
27.62,-6.77
28.40,-6.76
29.22,-6.76
30.08,-6.89
30.98,-6.93
31.91,-6.93
32.88,-6.86
33.89,-6.90
34.94,-6.90
36.02,-6.91
37.15,-6.93
38.31,-6.93
39.51,-7.10
40.75,-7.17
42.03,-7.23
43.34,-7.25
44.69,-7.26
46.09,-7.26
47.51,-7.25
48.98,-7.36
50.49,-7.41
52.03,-7.42
53.61,-7.59
55.23,-7.58
56.89,-7.56
58.59,-7.65
60.32,-7.61
62.09,-7.76
63.90,-7.76
65.75,-7.80
67.64,-7.84
69.56,-7.84
71.52,-7.81
73.52,-7.88
75.56,-7.97
77.64,-7.95
79.75,-8.02
81.91,-8.19
84.10,-8.34
86.33,-8.43
88.60,-8.48
90.90,-8.60
93.25,-8.67
95.63,-8.91
98.05,-9.06
100.50,-9.51
103.00,-9.53
105.54,-9.85
108.11,-9.93
110.72,-10.08
113.37,-10.42
116.05,-10.52
118.78,-10.80
121.54,-10.86
124.34,-10.87
127.18,-11.05
130.06,-11.21
132.97,-11.48
135.93,-11.69
138.92,-11.82
141.95,-12.20
145.02,-12.21
148.12,-12.54
151.27,-12.94
154.45,-13.11
157.67,-13.11
160.93,-13.41
164.22,-13.64
167.56,-13.95
170.93,-14.11
174.34,-14.56
177.79,-14.77
181.28,-15.00
184.80,-15.14
188.36,-15.44
191.97,-15.63
195.61,-16.06
199.28,-16.44
203.00,-16.61
206.75,-17.09
210.54,-17.37
214.37,-17.79
218.24,-17.85
222.15,-18.17
226.09,-18.49
230.07,-18.75
234.10,-18.97
238.15,-19.06
242.25,-19.25
246.39,-19.51
250.56,-19.65
254.77,-19.80
259.02,-19.81
263.31,-19.91
267.63,-20.04
271.99,-20.05
276.40,-20.27
280.84,-20.45
285.31,-20.49
289.83,-20.19
294.38,-20.20
298.98,-20.01
303.61,-19.88
308.27,-19.63
312.98,-19.50
317.73,-19.28
322.51,-19.29
327.33,-19.01
332.19,-18.50
337.08,-17.84
342.02,-17.19
346.99,-16.85
352.00,-16.41
357.05,-15.21
362.14,-14.67
367.27,-14.14
372.43,-13.33
377.63,-13.00
382.87,-12.48
388.15,-12.06
393.47,-11.12
398.82,-9.83
404.21,-8.49
409.64,-7.47
415.11,-6.32
420.62,-5.69
426.16,-4.82
431.75,-4.55
437.37,-4.17
443.03,-3.62
448.72,-3.15
454.46,-2.76
460.23,-2.23
466.04,-1.98
471.89,-1.65
477.78,-1.40
483.71,-1.23
489.67,-1.09
495.67,-0.99
501.71,-0.87
507.79,-0.79
513.91,-0.84
520.06,-0.69
526.26,-0.61
532.49,-0.52
538.76,-0.47
545.06,-0.37
551.41,-0.50
557.79,-0.91
564.21,-1.15
570.67,-1.84
577.17,-2.19
583.71,-2.24
590.28,-2.31
596.89,-2.36
603.54,-2.62
610.23,-2.80
616.96,-3.10
623.72,-3.21
630.52,-3.55
637.36,-3.66
644.24,-3.64
651.16,-3.65
658.11,-3.43
665.11,-3.22
672.14,-3.14
679.21,-3.22
686.31,-2.69
693.46,-2.56
700.64,-2.60
707.86,-2.34
715.12,-1.91
722.42,-1.58
729.76,-1.14
737.13,-0.83
744.54,-0.50
751.99,-0.40
759.48,-0.29
767.01,-0.23
774.57,-0.19
782.18,-0.06
789.82,-0.00
797.50,-0.08
805.21,-0.13
812.97,-0.37
820.76,-0.52
828.59,-0.74
836.46,-1.05
844.37,-1.75
852.32,-2.02
860.30,-2.47
868.32,-3.34
876.38,-3.94
884.48,-5.25
892.62,-6.04
900.79,-7.11
909.00,-8.28
917.25,-9.27
925.54,-9.77
933.87,-10.94
942.23,-11.77
950.64,-12.22
959.08,-12.68
967.56,-13.17
976.07,-13.45
984.63,-13.78
993.22,-13.42
1001.85,-13.22
1010.52,-12.30
1019.23,-11.87
1027.98,-10.84
1036.76,-9.67
1045.58,-8.41
1054.45,-7.10
1063.34,-6.10
1072.28,-5.44
1081.25,-5.12
1090.27,-4.35
1099.32,-3.59
1108.41,-2.54
1117.53,-2.36
1126.70,-1.92
1135.90,-1.57
1145.14,-1.39
1154.42,-1.22
1163.74,-1.21
1173.10,-1.08
1182.49,-1.09
1191.92,-1.27
1201.39,-2.00
1210.90,-2.31
1220.45,-2.67
1230.03,-3.01
1239.65,-3.19
1249.31,-4.16
1259.01,-5.30
1268.75,-5.64
1278.52,-6.12
1288.34,-6.74
1298.19,-7.38
1308.08,-7.67
1318.01,-8.06
1327.97,-8.75
1337.97,-9.48
1348.02,-9.85
1358.10,-10.06
1368.21,-10.36
1378.37,-11.08
1388.56,-11.39
1398.80,-11.54
1409.07,-11.85
1419.38,-11.82
1429.72,-12.38
1440.11,-12.48
1450.53,-12.54
1460.99,-13.00
1471.49,-13.33
1482.03,-13.87
1492.60,-14.03
1503.21,-14.01
1513.87,-14.04
1524.56,-13.73
1535.28,-13.87
1546.05,-13.83
1556.85,-13.66
1567.69,-13.72
1578.57,-13.70
1589.49,-13.58
1600.45,-13.73
1611.44,-13.64
1622.48,-13.54
1633.55,-13.31
1644.66,-12.95
1655.80,-13.11
1666.99,-13.25
1678.21,-13.97
1689.47,-13.88
1700.77,-14.14
1712.11,-14.23
1723.48,-14.24
1734.90,-14.15
1746.35,-14.56
1757.84,-14.42
1769.37,-14.39
1780.93,-14.71
1792.54,-14.83
1804.18,-15.19
1815.86,-15.37
1827.58,-15.27
1839.33,-15.00
1851.13,-14.96
1862.96,-14.98
1874.83,-15.26
1886.74,-15.53
1898.69,-15.51
1910.67,-15.71
1922.70,-15.59
1934.76,-15.35
1946.86,-15.28
1959.00,-15.04
1971.17,-14.85
1983.39,-14.56
1995.64,-14.59
2007.93,-14.15
2020.26,-14.00
2032.62,-13.88
2045.03,-13.50
2057.47,-13.18
2069.95,-12.74
2082.47,-12.36
2095.03,-12.05
2107.62,-11.89
2120.25,-11.66
2132.92,-11.52
2145.63,-11.39
2158.38,-11.23
2171.17,-10.41
2183.99,-10.00
2196.85,-9.25
2209.75,-8.56
2222.69,-8.12
2235.67,-7.81
2248.68,-7.03
2261.73,-6.43
2274.82,-5.02
2287.95,-4.54
2301.12,-3.98
2314.32,-3.81
2327.57,-3.68
2340.85,-3.59
2354.17,-3.72
2367.52,-4.11
2380.92,-4.38
2394.35,-4.69
2407.82,-5.19
2421.33,-6.32
2434.88,-7.23
2448.47,-7.96
2462.09,-8.74
2475.75,-9.46
2489.45,-10.14
2503.19,-11.01
2516.97,-11.32
