frequency,raw
20.00,-23.11
20.02,-23.11
20.08,-23.11
20.17,-23.17
20.30,-23.17
20.48,-23.17
20.69,-23.17
20.93,-23.22
21.22,-23.22
21.54,-23.37
21.91,-23.37
22.31,-23.51
22.74,-23.51
23.22,-23.58
23.73,-23.91
24.29,-23.91
24.88,-24.01
25.51,-24.10
26.17,-24.18
26.88,-24.37
27.62,-24.54
28.40,-24.65
29.22,-24.79
30.08,-24.85
30.98,-25.17
31.91,-25.20
32.88,-25.29
33.89,-25.66
34.94,-25.84
36.02,-26.06
37.15,-26.22
38.31,-26.38
39.51,-26.78
40.75,-26.89
42.03,-27.02
43.34,-27.06
44.69,-27.39
46.09,-27.45
47.51,-27.65
48.98,-27.69
50.49,-28.43
52.03,-29.44
53.61,-29.59
55.23,-29.68
56.89,-29.73
58.59,-29.74
60.32,-29.99
62.09,-30.19
63.90,-30.13
65.75,-30.39
67.64,-30.34
69.56,-30.53
71.52,-30.47
73.52,-30.62
75.56,-30.71
77.64,-30.81
79.75,-31.03
81.91,-31.22
84.10,-31.22
86.33,-31.30
88.60,-31.32
90.90,-31.11
93.25,-31.41
95.63,-31.38
98.05,-31.30
100.50,-31.19
103.00,-31.15
105.54,-31.05
108.11,-30.99
110.72,-31.06
113.37,-31.00
116.05,-30.99
118.78,-31.14
121.54,-31.33
124.34,-31.28
127.18,-31.39
130.06,-31.40
132.97,-31.30
135.93,-31.34
138.92,-31.32
141.95,-31.25
145.02,-31.37
148.12,-31.31
151.27,-31.33
154.45,-31.09
157.67,-31.24
160.93,-31.22
164.22,-31.24
167.56,-31.26
170.93,-31.31
174.34,-31.19
177.79,-31.37
181.28,-31.27
184.80,-31.33
188.36,-31.41
191.97,-31.30
195.61,-31.26
199.28,-31.35
203.00,-31.36
206.75,-31.38
210.54,-31.51
214.37,-31.70
218.24,-31.67
222.15,-31.94
226.09,-32.10
230.07,-32.21
234.10,-32.45
238.15,-32.71
242.25,-32.78
246.39,-33.20
250.56,-33.43
254.77,-33.61
259.02,-33.41
263.31,-33.73
267.63,-34.04
271.99,-34.00
276.40,-33.85
280.84,-33.62
285.31,-33.76
289.83,-33.71
294.38,-33.61
298.98,-33.72
303.61,-33.71
308.27,-33.72
312.98,-33.62
317.73,-33.69
322.51,-33.47
327.33,-33.63
332.19,-33.85
337.08,-33.61
342.02,-33.61
346.99,-33.90
352.00,-34.20
357.05,-34.07
362.14,-34.15
367.27,-34.41
372.43,-34.41
377.63,-34.41
382.87,-34.33
388.15,-34.47
393.47,-34.43
398.82,-34.51
404.21,-34.09
409.64,-34.21
415.11,-34.10
420.62,-33.84
426.16,-33.89
431.75,-34.19
437.37,-34.12
443.03,-34.27
448.72,-34.30
454.46,-34.44
460.23,-34.27
466.04,-34.31
471.89,-34.36
477.78,-34.64
483.71,-34.37
489.67,-34.20
495.67,-34.46
501.71,-34.11
507.79,-34.08
513.91,-34.11
520.06,-33.98
526.26,-33.75
532.49,-33.84
538.76,-33.87
545.06,-33.64
551.41,-33.47
557.79,-33.84
564.21,-33.88
570.67,-33.96
577.17,-34.03
583.71,-33.65
590.28,-33.68
596.89,-33.74
603.54,-33.47
610.23,-33.39
616.96,-33.84
623.72,-33.79
630.52,-33.56
637.36,-33.47
644.24,-33.69
651.16,-33.47
658.11,-33.44
665.11,-33.20
672.14,-32.69
679.21,-32.46
686.31,-31.85
693.46,-31.64
700.64,-32.04
707.86,-31.65
715.12,-31.23
722.42,-31.20
729.76,-31.29
737.13,-31.31
744.54,-31.64
751.99,-31.71
759.48,-32.17
767.01,-32.29
774.57,-32.20
782.18,-32.28
789.82,-32.79
797.50,-32.96
805.21,-32.62
812.97,-32.41
820.76,-32.55
828.59,-32.41
836.46,-32.41
844.37,-32.33
852.32,-32.10
860.30,-31.54
868.32,-31.47
876.38,-31.74
884.48,-32.14
892.62,-32.13
900.79,-32.16
909.00,-32.01
917.25,-32.21
925.54,-32.42
933.87,-32.63
942.23,-32.40
950.64,-32.21
959.08,-32.18
967.56,-31.78
976.07,-31.66
984.63,-31.87
993.22,-31.80
1001.85,-31.80
1010.52,-31.78
1019.23,-31.86
1027.98,-31.82
1036.76,-32.00
1045.58,-32.49
1054.45,-32.72
1063.34,-32.11
1072.28,-32.39
1081.25,-32.24
1090.27,-32.20
1099.32,-32.21
1108.41,-31.90
1117.53,-31.04
1126.70,-30.85
1135.90,-31.47
1145.14,-31.11
1154.42,-31.17
1163.74,-31.14
1173.10,-31.08
1182.49,-31.43
1191.92,-31.55
1201.39,-31.47
1210.90,-31.52
1220.45,-31.65
1230.03,-32.07
1239.65,-32.05
1249.31,-32.21
1259.01,-32.42
1268.75,-32.49
1278.52,-32.77
1288.34,-33.13
1298.19,-33.21
1308.08,-32.97
1318.01,-32.81
1327.97,-32.90
1337.97,-32.78
1348.02,-32.70
1358.10,-32.00
1368.21,-31.05
1378.37,-30.67
1388.56,-29.38
1398.80,-28.35
1409.07,-27.49
1419.38,-26.70
1429.72,-26.28
1440.11,-25.94
1450.53,-25.79
1460.99,-25.61
1471.49,-25.89
1482.03,-25.85
1492.60,-26.41
1503.21,-26.28
1513.87,-26.12
1524.56,-26.11
1535.28,-26.40
1546.05,-26.09
1556.85,-25.78
1567.69,-25.34
1578.57,-24.79
1589.49,-24.28
1600.45,-24.22
1611.44,-24.14
1622.48,-23.96
1633.55,-23.85
1644.66,-24.21
1655.80,-24.90
1666.99,-25.76
1678.21,-25.81
1689.47,-26.08
1700.77,-26.56
1712.11,-26.66
1723.48,-26.36
1734.90,-26.45
1746.35,-26.39
1757.84,-26.88
1769.37,-27.03
1780.93,-27.04
1792.54,-27.35
1804.18,-27.38
1815.86,-27.80
1827.58,-27.48
1839.33,-27.04
1851.13,-26.89
1862.96,-26.68
1874.83,-26.86
1886.74,-26.65
1898.69,-26.69
1910.67,-27.14
1922.70,-27.20
1934.76,-27.07
1946.86,-27.08
1959.00,-27.08
1971.17,-27.35
1983.39,-27.37
1995.64,-27.92
2007.93,-28.33
2020.26,-27.93
2032.62,-27.79
2045.03,-27.89
2057.47,-27.73
2069.95,-27.52
2082.47,-28.01
2095.03,-28.33
2107.62,-28.70
2120.25,-28.79
2132.92,-28.44
2145.63,-28.89
2158.38,-28.58
2171.17,-28.24
2183.99,-28.13
2196.85,-28.41
2209.75,-28.60
2222.69,-28.27
2235.67,-28.28
2248.68,-28.09
2261.73,-27.65
2274.82,-26.57
2287.95,-24.89
2301.12,-22.89
2314.32,-21.29
2327.57,-19.43
2340.85,-18.40
2354.17,-17.75
2367.52,-17.33
2380.92,-17.82
2394.35,-18.66
2407.82,-19.09
2421.33,-20.04
2434.88,-20.94
2448.47,-21.71
2462.09,-21.67
2475.75,-21.88
2489.45,-22.14
2503.19,-22.77
2516.97,-23.13
2530.78,-23.44
2544.63,-23.61
2558.52,-23.25
2572.45,-23.44
2586.42,-23.12
2600.42,-22.74
2614.47,-22.91
2628.55,-23.06
2642.67,-23.43
2656.83,-23.25
2671.02,-23.35
2685.26,-23.46
2699.53,-23.99
2713.84,-23.26
2728.18,-23.39
2742.57,-23.28
2756.99,-23.57
2771.46,-23.41
2785.96,-23.68
2800.50,-23.36
2815.07,-23.95
2829.69,-23.79
2844.34,-23.64
2859.03,-23.56
2873.76,-23.43
2888.53,-23.56
2903.33,-23.21
2918.18,-23.45
2933.06,-23.72
2947.98,-24.02
2962.94,-23.63
2977.93,-23.57
2992.96,-23.45
3008.04,-22.68
3023.15,-22.14
3038.30,-22.14
3053.48,-22.41
3068.71,-22.46
3083.97,-23.01
3099.27,-23.10
3114.61,-23.43
3129.99,-23.13
3145.40,-23.19
3160.85,-22.97
3176.34,-22.90
3191.87,-22.49
3207.44,-22.10
3223.05,-21.54
3238.69,-21.52
3254.37,-21.72
3270.09,-22.05
3285.85,-21.95
3301.65,-21.46
3317.48,-21.68
3333.35,-21.23
3349.26,-21.58
3365.21,-22.04
3381.20,-22.51
3397.22,-21.65
3413.29,-21.41
3429.39,-20.39
3445.53,-20.18
3461.70,-20.05
3477.92,-20.32
3494.17,-20.24
3510.46,-20.13
3526.79,-20.22
3543.16,-19.98
3559.57,-19.98
