frequency,raw
20.00,-19.51
20.02,-19.51
20.08,-19.51
20.17,-19.51
20.30,-19.51
20.48,-19.50
20.69,-19.50
20.93,-19.50
21.22,-19.63
21.54,-19.63
21.91,-19.63
22.31,-19.59
22.74,-19.62
23.22,-19.62
23.73,-19.74
24.29,-19.80
24.88,-19.80
25.51,-19.86
26.17,-19.92
26.88,-19.80
27.62,-19.90
28.40,-19.94
29.22,-20.00
30.08,-19.89
30.98,-20.02
31.91,-20.09
32.88,-20.18
33.89,-20.25
34.94,-20.25
36.02,-20.23
37.15,-20.16
38.31,-20.14
39.51,-20.14
40.75,-20.32
42.03,-20.35
43.34,-20.55
44.69,-20.62
46.09,-20.66
47.51,-20.71
48.98,-20.88
50.49,-20.89
52.03,-21.01
53.61,-20.96
55.23,-21.00
56.89,-20.98
58.59,-20.90
60.32,-21.11
62.09,-21.11
63.90,-21.21
65.75,-21.32
67.64,-21.35
69.56,-21.42
71.52,-21.41
73.52,-21.38
75.56,-21.35
77.64,-21.31
79.75,-21.27
81.91,-21.23
84.10,-21.32
86.33,-21.35
88.60,-21.38
90.90,-21.35
93.25,-21.36
95.63,-21.38
98.05,-21.37
100.50,-21.45
103.00,-21.39
105.54,-21.60
108.11,-21.70
110.72,-21.91
113.37,-21.95
116.05,-22.25
118.78,-22.19
121.54,-22.08
124.34,-22.11
127.18,-22.01
130.06,-22.23
132.97,-22.40
135.93,-22.50
138.92,-22.44
141.95,-22.53
145.02,-22.63
148.12,-22.90
151.27,-22.94
154.45,-23.44
157.67,-23.63
160.93,-23.76
164.22,-23.57
167.56,-23.69
170.93,-23.91
174.34,-23.89
177.79,-24.10
181.28,-24.06
184.80,-24.06
188.36,-23.98
191.97,-24.18
195.61,-24.26
199.28,-24.07
203.00,-24.38
206.75,-24.44
210.54,-24.42
214.37,-24.47
218.24,-24.75
222.15,-24.81
226.09,-24.82
230.07,-24.90
234.10,-24.87
238.15,-25.07
242.25,-25.22
246.39,-25.27
250.56,-25.24
254.77,-25.31
259.02,-25.48
263.31,-25.50
267.63,-25.66
271.99,-25.56
276.40,-25.77
280.84,-26.16
285.31,-26.18
289.83,-26.11
294.38,-26.20
298.98,-26.17
303.61,-26.19
308.27,-26.29
312.98,-26.34
317.73,-26.33
322.51,-26.56
327.33,-26.72
332.19,-26.58
337.08,-26.66
342.02,-26.94
346.99,-27.16
352.00,-27.40
357.05,-27.27
362.14,-27.41
367.27,-27.83
372.43,-27.74
377.63,-28.01
382.87,-28.05
388.15,-28.20
393.47,-28.51
398.82,-28.48
404.21,-28.25
409.64,-28.25
415.11,-28.25
420.62,-28.04
426.16,-28.12
431.75,-28.12
437.37,-27.93
443.03,-27.88
448.72,-27.85
454.46,-27.89
460.23,-27.89
466.04,-28.22
471.89,-28.09
477.78,-28.07
483.71,-28.39
489.67,-28.65
495.67,-29.04
501.71,-29.00
507.79,-29.25
513.91,-29.26
520.06,-29.09
526.26,-29.13
532.49,-28.97
538.76,-29.23
545.06,-29.23
551.41,-29.54
557.79,-29.74
564.21,-29.92
570.67,-29.85
577.17,-29.75
583.71,-29.85
590.28,-30.17
596.89,-30.74
603.54,-30.84
610.23,-30.75
616.96,-30.80
623.72,-30.83
630.52,-30.51
637.36,-30.52
644.24,-30.62
651.16,-30.55
658.11,-30.46
665.11,-30.11
672.14,-29.86
679.21,-29.73
686.31,-29.89
693.46,-29.63
700.64,-29.35
707.86,-29.86
715.12,-29.58
722.42,-29.67
729.76,-29.66
737.13,-29.81
744.54,-30.14
751.99,-30.07
759.48,-30.40
767.01,-30.16
774.57,-30.51
782.18,-30.57
789.82,-30.41
797.50,-30.53
805.21,-30.82
812.97,-30.72
820.76,-30.66
828.59,-30.69
836.46,-30.60
844.37,-30.59
852.32,-30.58
860.30,-30.64
868.32,-30.48
876.38,-30.39
884.48,-30.11
892.62,-30.37
900.79,-30.27
909.00,-30.29
917.25,-30.33
925.54,-30.00
933.87,-29.69
942.23,-29.73
950.64,-29.81
959.08,-29.57
967.56,-29.61
976.07,-29.74
984.63,-29.77
993.22,-29.84
1001.85,-30.05
1010.52,-30.27
1019.23,-30.31
1027.98,-30.32
1036.76,-30.55
1045.58,-30.15
1054.45,-29.67
1063.34,-29.45
1072.28,-29.27
1081.25,-29.53
1090.27,-28.95
1099.32,-28.71
1108.41,-28.38
1117.53,-28.33
1126.70,-28.25
1135.90,-28.47
1145.14,-28.57
1154.42,-28.54
1163.74,-28.47
1173.10,-28.54
1182.49,-28.30
1191.92,-28.29
1201.39,-28.00
1210.90,-28.25
1220.45,-28.35
1230.03,-28.19
1239.65,-27.70
1249.31,-27.55
1259.01,-27.82
1268.75,-27.73
1278.52,-27.94
1288.34,-27.49
1298.19,-27.07
1308.08,-26.62
1318.01,-26.42
1327.97,-26.10
1337.97,-25.61
1348.02,-25.07
1358.10,-24.52
1368.21,-24.44
1378.37,-24.28
1388.56,-24.07
1398.80,-23.78
1409.07,-23.69
1419.38,-23.59
1429.72,-23.84
1440.11,-23.68
1450.53,-22.87
1460.99,-22.84
1471.49,-23.08
1482.03,-23.00
1492.60,-22.79
1503.21,-22.56
1513.87,-22.27
1524.56,-22.11
1535.28,-21.97
1546.05,-21.74
1556.85,-21.69
1567.69,-21.66
1578.57,-21.47
1589.49,-21.65
1600.45,-21.70
1611.44,-21.87
1622.48,-21.83
1633.55,-21.16
1644.66,-21.01
1655.80,-21.37
1666.99,-21.05
1678.21,-21.02
1689.47,-21.02
1700.77,-21.18
1712.11,-21.51
1723.48,-21.46
1734.90,-21.22
1746.35,-21.51
1757.84,-21.75
1769.37,-21.60
1780.93,-21.13
1792.54,-20.85
1804.18,-20.20
1815.86,-19.86
1827.58,-19.40
1839.33,-18.59
1851.13,-18.28
1862.96,-18.34
1874.83,-18.83
1886.74,-18.80
1898.69,-18.36
1910.67,-18.27
1922.70,-18.41
1934.76,-18.28
1946.86,-17.80
1959.00,-17.63
1971.17,-17.23
1983.39,-17.17
1995.64,-16.74
2007.93,-16.36
2020.26,-15.79
2032.62,-15.27
2045.03,-15.08
2057.47,-14.68
2069.95,-13.82
2082.47,-13.41
2095.03,-13.36
2107.62,-13.37
2120.25,-13.20
2132.92,-13.07
2145.63,-13.45
2158.38,-13.04
2171.17,-12.94
2183.99,-12.74
2196.85,-12.51
2209.75,-12.13
2222.69,-11.89
2235.67,-11.08
2248.68,-11.18
2261.73,-10.86
2274.82,-10.67
2287.95,-10.39
2301.12,-10.39
2314.32,-10.82
2327.57,-9.86
2340.85,-8.93
2354.17,-8.07
2367.52,-7.46
2380.92,-7.04
2394.35,-6.31
2407.82,-6.05
2421.33,-5.83
2434.88,-6.32
2448.47,-5.98
2462.09,-5.30
2475.75,-5.19
2489.45,-5.36
2503.19,-4.78
2516.97,-4.19
2530.78,-3.05
2544.63,-2.72
2558.52,-1.82
2572.45,-0.98
2586.42,-0.80
2600.42,-0.14
2614.47,-0.05
2628.55,-0.63
2642.67,-0.46
2656.83,-1.06
2671.02,-1.24
2685.26,-2.40
2699.53,-2.79
2713.84,-3.17
2728.18,-3.68
2742.57,-4.18
2756.99,-4.48
2771.46,-4.81
2785.96,-5.27
2800.50,-5.63
2815.07,-6.16
2829.69,-6.40
2844.34,-6.99
2859.03,-7.85
2873.76,-8.20
2888.53,-9.13
2903.33,-8.53
2918.18,-8.52
2933.06,-7.88
2947.98,-7.56
2962.94,-7.71
2977.93,-7.71
2992.96,-7.97
3008.04,-8.26
3023.15,-8.54
3038.30,-7.89
3053.48,-7.32
3068.71,-6.07
3083.97,-5.83
3099.27,-4.88
3114.61,-4.67
3129.99,-4.41
3145.40,-5.09
3160.85,-4.99
3176.34,-5.55
3191.87,-6.05
3207.44,-6.72
3223.05,-6.85
3238.69,-7.45
3254.37,-6.86
3270.09,-7.08
3285.85,-6.90
3301.65,-7.23
3317.48,-6.92
3333.35,-7.54
3349.26,-7.38
3365.21,-8.09
3381.20,-8.70
3397.22,-9.64
3413.29,-9.73
3429.39,-10.17
3445.53,-9.61
3461.70,-9.31
3477.92,-8.80
3494.17,-8.89
3510.46,-9.22
3526.79,-9.94
3543.16,-10.56
3559.57,-11.26
3576.01,-11.30
3592.49,-11.72
3609.01,-11.00
3625.57,-10.82
3642.17,-10.79
3658.80,-10.48
3675.47,-10.47
3692.19,-10.36
3708.93,-10.40
3725.72,-10.32
3742.55,-10.27
3759.41,-11.09
3776.31,-11.54
3793.25,-11.99
3810.23,-12.74
3827.24,-13.19
3844.30,-13.36
3861.39,-13.49
3878.52,-12.74
3895.69,-12.30
3912.89,-12.32
3930.14,-12.31
3947.42,-12.06
3964.74,-12.25
3982.10,-12.63
3999.50,-13.11
4016.93,-12.87
4034.40,-13.42
4051.91,-13.12
4069.46,-12.39
4087.05,-12.37
4104.68,-12.88
4122.34,-12.70
4140.04,-12.50
4157.78,-12.88
4175.56,-12.96
4193.37,-13.85
4211.23,-14.16
4229.12,-14.28
4247.05,-14.02
4265.02,-13.73
4283.02,-13.64
4301.07,-13.45
4319.15,-13.32
4337.27,-12.91
4355.43,-12.61
4373.63,-12.66
4391.86,-12.92
4410.14,-13.03
4428.45,-13.70
4446.80,-14.10
4465.18,-15.07
4483.61,-16.17
4502.07,-16.47
4520.58,-16.17
4539.12,-16.27
4557.69,-16.12
4576.31,-15.94
4594.96,-16.04
4613.66,-16.07
4632.39,-16.37
4651.16,-15.86
4669.96,-16.41
4688.81,-15.51
4707.69,-14.63
4726.61,-15.53
4745.57,-15.51
4764.57,-15.90
4783.60,-16.81
4802.68,-15.83
4821.79,-15.20
4840.94,-14.62
4860.13,-13.84
4879.35,-14.07
4898.62,-13.35
4917.92,-13.69
4937.26,-14.12
4956.64,-13.68
4976.05,-14.71
4995.51,-14.87
5015.00,-14.54
5034.53,-14.69
5054.10,-14.13
5073.71,-13.90
5093.35,-13.71
5113.03,-12.89
5132.76,-12.62
5152.52,-13.03
5172.31,-13.17
5192.15,-13.87
5212.02,-13.81
5231.93,-12.98
5251.88,-12.80
5271.87,-12.30
5291.90,-11.77
5311.96,-11.95
5332.07,-12.11
5352.21,-12.52
5372.38,-13.31
5392.60,-13.54
5412.86,-13.57
5433.15,-13.59
5453.48,-13.19
5473.85,-13.10
5494.26,-12.86
5514.70,-13.01
5535.19,-12.78
5555.71,-12.24
5576.27,-12.05
5596.86,-11.38
5617.50,-12.11
5638.17,-11.97
5658.89,-11.40
5679.64,-11.40
5700.43,-11.57
5721.25,-11.87
5742.12,-12.59
5763.02,-12.57
5783.96,-12.06
5804.94,-12.10
5825.96,-12.11
5847.01,-12.72
5868.10,-13.01
5889.24,-12.92
5910.40,-13.32
5931.61,-12.53
5952.86,-12.21
5974.14,-11.57
5995.46,-11.18
6016.82,-10.78
6038.22,-10.08
6059.66,-10.56
6081.13,-10.97
6102.64,-11.76
6124.20,-11.59
6145.78,-11.29
6167.41,-10.39
6189.08,-9.20
6210.78,-8.85
6232.52,-9.02
6254.30,-9.53
6276.12,-10.49
6297.97,-11.09
6319.87,-11.23
6341.80,-10.88
6363.77,-10.75
6385.77,-10.30
6407.82,-10.04
6429.90,-9.88
6452.03,-9.97
6474.19,-10.39
6496.39,-11.56
6518.62,-12.08
6540.90,-11.69
6563.21,-11.67
6585.56,-11.18
6607.95,-11.31
6630.38,-11.46
6652.84,-12.10
6675.34,-12.32
6697.89,-12.99
6720.47,-13.35
6743.08,-12.88
6765.74,-12.93
6788.43,-11.72
6811.16,-11.82
6833.93,-12.52
6856.74,-13.72
6879.59,-14.22
6902.47,-14.50
6925.40,-14.19
6948.36,-14.77
6971.35,-15.39
6994.39,-15.79
7017.47,-16.26
7040.58,-16.88
7063.73,-17.13
7086.92,-17.13
7110.15,-17.24
7133.41,-17.38
7156.72,-17.61
7180.06,-18.11
7203.44,-18.24
7226.86,-18.69
7250.31,-19.21
7273.81,-18.88
7297.34,-18.00
7320.91,-17.98
7344.52,-18.26
7368.16,-19.16
7391.85,-19.86
7415.57,-20.40
7439.33,-20.75
7463.13,-20.37
7486.97,-19.71
7510.84,-19.03
7534.76,-19.13
7558.71,-19.41
7582.70,-20.09
7606.72,-21.26
7630.79,-21.68
7654.89,-22.08
7679.04,-21.75
7703.22,-20.97
7727.43,-21.19
7751.69,-21.32
7775.98,-21.94
7800.32,-22.26
7824.69,-22.33
7849.10,-22.44
7873.54,-21.89
7898.03,-22.00
7922.55,-21.08
7947.11,-21.39
7971.71,-21.53
7996.35,-22.42
8021.02,-22.94
8045.74,-23.90
8070.49,-24.13
8095.28,-24.17
8120.11,-23.72
8144.97,-23.64
8169.88,-23.15
8194.82,-23.13
8219.80,-23.48
8244.82,-23.73
8269.87,-23.61
8294.97,-23.00
8320.10,-22.56
8345.27,-22.13
8370.48,-21.76
8395.73,-22.63
8421.01,-22.88
8446.34,-23.25
8471.70,-23.27
8497.10,-23.46
8522.54,-23.79
8548.01,-23.80
8573.53,-24.00
8599.08,-23.61
8624.67,-23.24
8650.30,-22.25
8675.96,-21.85
8701.67,-21.91
8727.41,-22.73
8753.19,-23.53
8779.01,-23.63
8804.87,-23.18
8830.76,-22.88
8856.69,-22.26
8882.66,-22.13
8908.67,-22.20
8934.72,-21.97
8960.81,-21.91
8986.93,-21.34
9013.09,-20.91
9039.29,-19.71
9065.53,-19.74
9091.81,-20.11
9118.12,-21.11
9144.47,-20.51
9170.86,-20.53
9197.29,-20.21
9223.76,-20.82
9250.26,-20.12
