frequency,raw
20.00,-0.76
20.02,-0.76
20.08,-0.76
20.17,-0.76
20.30,-0.76
20.48,-0.79
20.69,-0.79
20.93,-0.79
21.22,-0.79
21.54,-0.79
21.91,-0.79
22.31,-0.76
22.74,-0.76
23.22,-0.76
23.73,-0.82
24.29,-0.80
24.88,-0.80
25.51,-0.79
26.17,-0.78
26.88,-0.78
27.62,-0.89
28.40,-1.05
29.22,-1.05
30.08,-1.07
30.98,-1.17
31.91,-1.17
32.88,-1.22
33.89,-1.43
34.94,-1.46
36.02,-1.49
37.15,-1.49
38.31,-1.41
39.51,-1.54
40.75,-1.64
42.03,-1.65
43.34,-1.61
44.69,-1.72
46.09,-1.81
47.51,-1.73
48.98,-1.71
50.49,-1.75
52.03,-1.98
53.61,-1.93
55.23,-2.13
56.89,-2.16
58.59,-2.33
60.32,-2.37
62.09,-2.47
63.90,-2.61
65.75,-2.61
67.64,-2.73
69.56,-3.07
71.52,-3.27
73.52,-3.23
75.56,-3.29
77.64,-3.31
79.75,-3.35
81.91,-3.42
84.10,-3.48
86.33,-3.58
88.60,-3.73
90.90,-3.73
93.25,-3.98
95.63,-4.06
98.05,-4.10
100.50,-4.10
103.00,-4.20
105.54,-4.26
108.11,-4.47
110.72,-4.77
113.37,-5.13
116.05,-5.13
118.78,-5.33
121.54,-5.42
124.34,-5.49
127.18,-5.77
130.06,-5.76
132.97,-5.86
135.93,-6.09
138.92,-6.37
141.95,-6.64
145.02,-6.87
148.12,-7.28
151.27,-7.24
154.45,-7.26
157.67,-7.11
160.93,-7.07
164.22,-7.05
167.56,-7.20
170.93,-7.19
174.34,-7.22
177.79,-7.40
181.28,-7.48
184.80,-7.63
188.36,-8.03
191.97,-7.99
195.61,-8.28
199.28,-8.49
203.00,-8.56
206.75,-8.85
210.54,-8.92
214.37,-8.93
218.24,-9.05
222.15,-9.35
226.09,-9.33
230.07,-9.23
234.10,-9.24
238.15,-9.24
242.25,-9.30
246.39,-9.36
250.56,-9.64
254.77,-9.76
259.02,-9.84
263.31,-9.91
267.63,-10.13
271.99,-10.28
276.40,-10.16
280.84,-10.28
285.31,-10.19
289.83,-10.26
294.38,-10.36
298.98,-10.42
303.61,-10.49
308.27,-10.75
312.98,-10.94
317.73,-11.23
322.51,-11.34
327.33,-11.53
332.19,-11.61
337.08,-11.51
342.02,-11.55
346.99,-11.46
352.00,-11.54
357.05,-11.80
362.14,-11.98
367.27,-11.96
372.43,-12.22
377.63,-12.25
382.87,-12.62
388.15,-12.49
393.47,-12.43
398.82,-12.43
404.21,-12.25
